Column1,Assemblage,m,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
68,Niño,42166,Extrapolation,1,14.39009338,14.12844365,14.6517431,0.999773205,0.999612531,0.99993388
69,Niño,42819,Extrapolation,1,14.3905519,14.12889298,14.65221082,0.999774949,0.999613706,0.999936193
70,Niño,43472,Extrapolation,1,14.39100293,14.129335,14.65267087,0.99977668,0.999614885,0.999938475
71,Niño,44124,Extrapolation,1,14.39144593,14.12976917,14.65312269,0.999778395,0.999616068,0.999940721
72,Niño,44777,Extrapolation,1,14.39188238,14.13019695,14.6535678,0.999780099,0.99961726,0.999942938
73,Niño,45430,Extrapolation,1,14.39231169,14.13061778,14.65400561,0.99978179,0.99961846,0.99994512
74,Niño,46083,Extrapolation,1,14.392734,14.13103176,14.65443625,0.999783468,0.999619668,0.999947268
75,Niño,46736,Extrapolation,1,14.39314942,14.13143902,14.65485982,0.999785133,0.999620886,0.999949381
76,Niño,47388,Extrapolation,1,14.39355743,14.13183904,14.65527582,0.999786783,0.999622111,0.999951455
77,Niño,48041,Extrapolation,1,14.39395941,14.13223318,14.65568564,0.999788423,0.999623347,0.999953498
